origin,visit
159427,5
160125,6
160186,3
160223,6
161024,6
161212,1
161323,6
161357,1
161917,5
162229,2
162443,4
162786,1
163150,5
163316,4
163328,4
163596,2
163709,6
164157,3
164189,1
164838,2
165002,1
165103,4
165755,6
166110,3
166480,2
167221,3
167229,4
167338,2
167362,5
167537,1
167562,4
168037,1
168176,1
168207,1
168416,2
168750,6
168970,3
168986,5
169389,5
169430,4
169852,4
169922,4
169924,5
170262,2
170382,6
170467,4
170669,1
170675,7
170684,3
170966,4
171529,3
171565,2
171693,3
171962,5
172365,5
172419,4
172421,2
172634,3
173238,1
173279,2
173551,5
173600,2
174177,1
174268,2
175079,5
175106,6
175577,3
176238,4
176265,3
176551,3
176784,10
176794,3
176856,2
176971,6
176976,5
177999,5
178040,5
178101,6
178203,2
178358,1
178548,5
179267,2
179464,5
179495,2
179776,1
179829,5
180199,3
180352,5
180751,2
180959,5
180976,2
181013,1
181483,1
181591,7
181702,4
181850,1
181900,2
182034,1
182821,2
182868,2
182946,1
183116,2
183254,4
183561,1
183667,1
183786,4
184319,4
184546,2
184764,6
185071,3
185465,1
185660,4
186539,5
186619,3
186637,6
187351,5
187615,1
187696,5
187832,5
188069,4
188156,4
188780,6
188824,5
188932,5
189398,5
189574,2
189825,1
191465,3
191566,1
191689,5
192031,6
192446,3
192462,6
192691,6
192738,12
192918,3
192921,3
193381,6
193438,3
193581,1
194141,6
194738,3
195493,6
195904,3
196186,1
196218,3
196349,1
196548,2
196811,1
196855,5
196877,3
196943,3
197117,4
197471,1
197773,4
198523,6
199258,4
199443,6
199968,4
200161,5
200972,3
201172,1
201172,3
201252,5
201404,5
201785,4
202085,5
202848,2
203073,6
203090,3
204564,3
205278,4
205678,6
205984,4
206336,1
206382,4
206486,4
206861,1
206895,8
207026,3
207058,4
207159,6
207198,6
207772,1
207868,5
207893,4
208050,4
209237,3
209387,3
209447,5
209736,6
209949,1
210016,2
210051,2
210214,1
210360,5
210605,4
210819,3
210823,2
210966,3
211061,10
211128,1
211505,4
212105,1
212413,5
212504,3
213322,4
213571,3
213732,1
213746,6
213761,6
214061,1
214599,1
214703,3
214739,4
214831,3
214888,4
215197,6
215525,2
215643,1
215710,2
215765,6
216067,4
216072,5
216289,3
216567,3
216643,5
216719,1
216729,6
217148,4
217206,1
217279,4
217534,2
217618,1
217860,6
217909,4
217936,5
217954,5
218247,4
218370,3
218414,6
219065,5
219165,5
219186,4
219252,1
219834,2
219883,1
220087,6
220116,2
220473,2
220713,2
221622,6
221679,3
221781,4
222121,3
222294,1
222404,6
222733,3
223214,1
223230,4
223518,2
223750,2
224818,8
225186,2
225388,2
225512,2
225784,2
226566,6
226626,1
227278,2
227327,5
228085,1
228167,1
228413,1
228446,4
228474,2
228734,5
228988,6
229010,5
229044,1
229173,3
